,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
196,yellowknife,ca,"{'lon': -114.352547, 'lat': 62.456001}",6185377,62.46,-114.35,1505228400,48.2,93,90,6.93,1505260800,49.51,89,92,6.4,1505239200,1505660400,48.761,85.95,14.5,11.647499999999999
197,la asuncion,ve,"{'lon': -63.862782, 'lat': 11.03333}",3480908,11.03,-63.86,1505228400,87.8,70,20,11.34,1505239200,88.7,89,0,6.98,1505239200,1505660400,82.61100000000002,95.925,19.4,11.541250000000002
198,san jeronimo,mx,"{'lon': -103.9854708, 'lat': 20.4061494}",0,20.41,-103.99,1505231007,65.41,79,0,0.83,1505250000,86.34,25,0,3.83,1505239200,1505660400,70.74300000000001,66.55,21.6,2.73625
199,scottsburgh,za,"{'lon': 30.7551101, 'lat': -30.2862643}",0,-30.29,30.76,1505231007,85.48,39,20,3.85,1505293200,90.92,30,0,7.4,1505239200,1505660400,65.79525,70.45,44.6,6.208500000000001
200,vanimo,pg,"{'lon': 141.302841, 'lat': -2.67408}",2084442,-2.67,141.3,1505231008,84.94,100,8,10.16,1505239200,84.18,100,24,9.22,1505239200,1505660400,80.67250000000001,100.0,69.0,5.3135
201,cherskiy,ru,"{'lon': 161.300003, 'lat': 68.75}",2126199,68.75,161.3,1505231009,33.55,95,80,11.9,1505260800,37.53,92,80,10.76,1505239200,1505660400,34.1625,95.95,82.9,8.71325
202,kahului,us,"{'lon': -156.470001, 'lat': 20.89472}",5847411,20.89,-156.47,1505228160,67.78,83,1,5.82,1505260800,82.98,75,64,3.71,1505239200,1505660400,76.79375,90.675,29.2,6.4485
203,crib point,au,"{'lon': 145.199997, 'lat': -38.349998}",2169995,-38.35,145.2,1505231010,54.34,90,0,10.27,1505271600,54.99,90,36,20.49,1505239200,1505660400,51.05325,95.0,64.3,15.404750000000002
204,kudahuvadhoo,mv,"{'lon': 72.894371, 'lat': 2.67075}",1337607,2.67,72.89,1505231011,79.81,100,80,15.82,1505250000,81.75,100,92,15.23,1505239200,1505660400,80.922,100.0,63.2,10.17175
205,constitucion,mx,"{'lon': -103.368837, 'lat': 20.729735}",0,20.73,-103.37,1505227980,64.4,68,5,2.77,1505250000,89.33,35,0,3.38,1505239200,1505660400,69.25525,57.05,10.1,2.134
